,0,1,2
ENSG00000035499,DEPDC1B,DEPDC1B,Depdc1b
ENSG00000139734,DIAPH3,DIAPH3,Diaph3
ENSG00000126787,DLGAP5,DLGAP5,Dlgap5
ENSG00000132002,DNAJB1,DNAJB1,Dnajb1
ENSG00000117505,DR1,DR1,Dr1
ENSG00000198919,DZIP3,DZIP3,Dzip3
ENSG00000133740,E2F5,E2F5,E2f5
ENSG00000114346,ECT2,ECT2,Ect2
ENSG00000111206,FOXM1,FOXM1,Foxm1
ENSG00000010810,FYN,FYN,Fyn
ENSG00000092140,G2E3,G2E3,G2e3
ENSG00000116717,GADD45A,GADD45A,Gadd45a
ENSG00000139354,GAS2L3,GAS2L3,Gas2l3
ENSG00000120053,GOT1,GOT1,Got1
ENSG00000198055,GRK6,GRK6,Grk6
ENSG00000075218,GTSE1,GTSE1,Gtse1
ENSG00000172534,HCFC1,HCFC1,Hcfc1
ENSG00000064961,HMG20B,HMG20B,Hmg20b
ENSG00000029993,HMGB3,HMGB3,Hmgb3
ENSG00000072571,HMMR,HMMR,Hmmr
ENSG00000127483,HP1BP3,HP1BP3,Hp1bp3
ENSG00000100099,HPS4,HPS4,Hps4
ENSG00000153936,HS2ST1,HS2ST1,Hs2st1
ENSG00000109971,HSPA8,HSPA8,Hspa8
ENSG00000155304,HSPA13,HSPA13,Hspa13
ENSG00000142945,KIF2C,KIF2C,Kif2c
ENSG00000170759,KIF5B,KIF5B,Kif5b
ENSG00000118193,KIF14,KIF14,Kif14
ENSG00000138182,KIF20B,KIF20B,Kif20b
ENSG00000119138,KLF9,KLF9,Klf9
ENSG00000143815,LBR,LBR,Lbr
ENSG00000160789,LMNA,LMNA,Lmna
ENSG00000104738,MCM4,MCM4,Mcm4
ENSG00000137337,MDC1,MDC1,Mdc1
ENSG00000129534,MIS18BP1,MIS18BP1,Mis18bp1
ENSG00000148773,MKI67,MKI67,Mki67
ENSG00000204899,MZT1,MZT1,Mzt1
ENSG00000010292,NCAPD2,NCAPD2,Ncapd2
ENSG00000124160,NCOA5,NCOA5,Ncoa5
ENSG00000117650,NEK2,NEK2,Nek2
ENSG00000143228,NUF2,NUF2,Nuf2
ENSG00000163002,NUP35,NUP35,Nup35
ENSG00000110713,NUP98,NUP98,Nup98
ENSG00000137804,NUSAP1,NUSAP1,Nusap1
ENSG00000136811,ODF2,ODF2,Odf2
ENSG00000168078,PBK,PBK,Pbk
ENSG00000165494,PCF11,PCF11,Pcf11
ENSG00000166851,PLK1,PLK1,Plk1
ENSG00000164087,POC1A,POC1A,Poc1a
ENSG00000196313,POM121,POM121,Pom121
ENSG00000204569,PPP1R10,PPP1R10,Ppp1r10
ENSG00000161542,PRPSAP1,PRPSAP1,Prpsap1
ENSG00000068489,PRR11,PRR11,Prr11
ENSG00000157778,PSMG3,PSMG3,Psmg3
ENSG00000112245,PTP4A1,PTP4A1,Ptp4a1
ENSG00000169410,PTPN9,PTPN9,Ptpn9
ENSG00000136045,PWP1,PWP1,Pwp1
ENSG00000198218,QRICH1,QRICH1,Qrich1
ENSG00000108384,RAD51C,RAD51C,Rad51c
ENSG00000100401,RANGAP1,RANGAP1,Rangap1
ENSG00000265241,RBM8A,RBM8A,Rbm8a
ENSG00000159200,RCAN1,RCAN1,Rcan1
ENSG00000142599,RERE,RERE,Rere
ENSG00000070423,RNF126,RNF126,Rnf126
ENSG00000110315,RNF141,RNF141,Rnf141
ENSG00000205937,RNPS1,RNPS1,Rnps1
ENSG00000160214,RRP1,RRP1,Rrp1
ENSG00000086475,SEPHS1,SEPHS1,Sephs1
ENSG00000116560,SFPQ,SFPQ,Sfpq
ENSG00000171241,SHCBP1,SHCBP1,Shcbp1
ENSG00000099956,SMARCB1,SMARCB1,Smarcb1
ENSG00000066117,SMARCD1,SMARCD1,Smarcd1
ENSG00000076382,SPAG5,SPAG5,Spag5
ENSG00000115306,SPTBN1,SPTBN1,Sptbn1
ENSG00000112658,SRF,SRF,Srf
ENSG00000112081,SRSF3,SRSF3,Srsf3
ENSG00000141380,SS18,SS18,Ss18
ENSG00000013810,TACC3,TACC3,Tacc3
ENSG00000054118,THRAP3,THRAP3,Thrap3
ENSG00000140332,TLE3,TLE3,Tle3
ENSG00000149483,TMEM138,TMEM138,Tmem138
ENSG00000083312,TNPO1,TNPO1,Tnpo1
ENSG00000025772,TOMM34,TOMM34,Tomm34
ENSG00000088325,TPX2,TPX2,Tpx2
ENSG00000071539,TRIP13,TRIP13,Trip13
ENSG00000074319,TSG101,TSG101,Tsg101
ENSG00000211460,TSN,TSN,Tsn
ENSG00000112742,TTK,TTK,Ttk
ENSG00000188229,TUBB4B,TUBB4B,Tubb4b
ENSG00000115514,TXNDC9,TXNDC9,Txndc9
ENSG00000198431,TXNRD1,TXNRD1,Txnrd1
ENSG00000109332,UBE2D3,UBE2D3,Ube2d3
ENSG00000058056,USP13,USP13,Usp13
ENSG00000156256,USP16,USP16,Usp16
ENSG00000173218,VANGL1,VANGL1,Vangl1
ENSG00000109046,WSB1,WSB1,Wsb1
ENSG00000128245,YWHAH,YWHAH,Ywhah
ENSG00000091732,ZC3HC1,ZC3HC1,Zc3hc1
ENSG00000197056,ZMYM1,ZMYM1,Zmym1
