,0,1,2
ENSG00000129534,MIS18BP1,MIS18BP1,Mis18bp1
ENSG00000121211,MND1,MND1,Mnd1
ENSG00000151503,NCAPD3,NCAPD3,Ncapd3
ENSG00000121152,NCAPH,NCAPH,Ncaph
ENSG00000124160,NCOA5,NCOA5,Ncoa5
ENSG00000080986,NDC80,NDC80,Ndc80
ENSG00000109674,NEIL3,NEIL3,Neil3
ENSG00000141905,NFIC,NFIC,Nfic
ENSG00000164190,NIPBL,NIPBL,Nipbl
ENSG00000197696,NMB,NMB,Nmb
ENSG00000113580,NR3C1,NR3C1,Nr3c1
ENSG00000069275,NUCKS1,NUCKS1,Nucks1
ENSG00000137497,NUMA1,NUMA1,Numa1
ENSG00000137804,NUSAP1,NUSAP1,Nusap1
ENSG00000140451,PIF1,PIF1,Pif1
ENSG00000160199,PKNOX1,PKNOX1,Pknox1
ENSG00000051341,POLQ,POLQ,Polq
ENSG00000184203,PPP1R2,PPP1R2,Ppp1r2
ENSG00000108671,PSMD11,PSMD11,Psmd11
ENSG00000134222,PSRC1,PSRC1,Psrc1
ENSG00000100401,RANGAP1,RANGAP1,Rangap1
ENSG00000166965,RCCD1,RCCD1,Rccd1
ENSG00000072042,RDH11,RDH11,Rdh11
ENSG00000110315,RNF141,RNF141,Rnf141
ENSG00000164105,SAP30,SAP30,Sap30
ENSG00000165480,SKA3,SKA3,Ska3
ENSG00000113810,SMC4,SMC4,Smc4
ENSG00000115415,STAT1,STAT1,Stat1
ENSG00000123473,STIL,STIL,Stil
ENSG00000081320,STK17B,STK17B,Stk17b
ENSG00000172340,SUCLG2,SUCLG2,Suclg2
ENSG00000137203,TFAP2A,TFAP2A,Tfap2a
ENSG00000102265,TIMP1,TIMP1,Timp1
ENSG00000120802,TMPO,TMPO,Tmpo
ENSG00000105576,TNPO2,TNPO2,Tnpo2
ENSG00000131747,TOP2A,TOP2A,Top2a
ENSG00000183763,TRAIP,TRAIP,Traip
ENSG00000213186,TRIM59,TRIM59,Trim59
ENSG00000099899,TRMT2A,TRMT2A,Trmt2a
ENSG00000116830,TTF2,TTF2,Ttf2
ENSG00000167552,TUBA1A,TUBA1A,Tuba1a
ENSG00000137267,TUBB2A,TUBB2A,Tubb2a
ENSG00000188229,TUBB4B,TUBB4B,Tubb4b
ENSG00000108423,TUBD1,TUBD1,Tubd1
ENSG00000137831,UACA,UACA,Uaca
ENSG00000175063,UBE2C,UBE2C,Ube2c
ENSG00000131475,VPS25,VPS25,Vps25
ENSG00000009844,VTA1,VTA1,Vta1
ENSG00000109046,WSB1,WSB1,Wsb1
ENSG00000174276,ZNHIT2,ZNHIT2,Znhit2
